2022-03-13T23:05:02.908908800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:05:02.918121500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.918282600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:05:02.919791+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.920109600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.920642800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.920844200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.922125900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.922546+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.923017500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:02.923231100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:03.309733600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:05:03.310012300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:16.687104800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:16.799233100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:17.000807500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:17.405682400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:18.217128900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:19.821326900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:23.025827900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:25.264650700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:25.321989800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:25.538321200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:25.952385800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:26.766655+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:28.370353700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:31.576181800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:55.150468900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:55.466190500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:55.466435500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:56.085778900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:56.085983800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:57.286060900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:57.286301700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:59.671118700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:59.689710900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:59.689917+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:59.970888100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:05:59.971094800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:00.572601+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:00.572689600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:01.839425100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:01.839706500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:04.176620500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:04.176788200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:04.489983500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:04.490185700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:06.751250200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:07.051194200+08:00 - transfer tcp packet error, tun not supported udp
